lat,lon,corridor
1.340746,103.901218,Paya Lebar 02/20 corridor S
1.336493,103.899736,Paya Lebar 02/20 corridor S
1.332239,103.898254,Paya Lebar 02/20 corridor S
1.327985,103.896772,Paya Lebar 02/20 corridor S
1.323731,103.895290,Paya Lebar 02/20 corridor S
1.319478,103.893808,Paya Lebar 02/20 corridor S
1.315224,103.892326,Paya Lebar 02/20 corridor S
1.310970,103.890844,Paya Lebar 02/20 corridor S
1.306716,103.889362,Paya Lebar 02/20 corridor S
1.302463,103.887880,Paya Lebar 02/20 corridor S
1.298209,103.886399,Paya Lebar 02/20 corridor S
1.293955,103.884917,Paya Lebar 02/20 corridor S
1.289701,103.883435,Paya Lebar 02/20 corridor S
1.285448,103.881953,Paya Lebar 02/20 corridor S
1.281194,103.880471,Paya Lebar 02/20 corridor S
1.276940,103.878989,Paya Lebar 02/20 corridor S
1.272686,103.877507,Paya Lebar 02/20 corridor S
1.268433,103.876025,Paya Lebar 02/20 corridor S
1.264179,103.874543,Paya Lebar 02/20 corridor S
1.259925,103.873061,Paya Lebar 02/20 corridor S
1.255671,103.871579,Paya Lebar 02/20 corridor S
1.251418,103.870097,Paya Lebar 02/20 corridor S
1.247164,103.868615,Paya Lebar 02/20 corridor S
1.242910,103.867133,Paya Lebar 02/20 corridor S
1.380254,103.914982,Paya Lebar 02/20 corridor N
1.384507,103.916464,Paya Lebar 02/20 corridor N
1.388761,103.917946,Paya Lebar 02/20 corridor N
1.393015,103.919428,Paya Lebar 02/20 corridor N
1.397269,103.920910,Paya Lebar 02/20 corridor N
1.401522,103.922392,Paya Lebar 02/20 corridor N
1.405776,103.923874,Paya Lebar 02/20 corridor N
1.410030,103.925356,Paya Lebar 02/20 corridor N
1.414284,103.926838,Paya Lebar 02/20 corridor N
1.418537,103.928320,Paya Lebar 02/20 corridor N
1.422791,103.929801,Paya Lebar 02/20 corridor N
1.427045,103.931283,Paya Lebar 02/20 corridor N
1.431299,103.932765,Paya Lebar 02/20 corridor N
1.435552,103.934247,Paya Lebar 02/20 corridor N
1.439806,103.935729,Paya Lebar 02/20 corridor N
1.444060,103.937211,Paya Lebar 02/20 corridor N
1.448314,103.938693,Paya Lebar 02/20 corridor N
1.452567,103.940175,Paya Lebar 02/20 corridor N
1.456821,103.941657,Paya Lebar 02/20 corridor N
1.461075,103.943139,Paya Lebar 02/20 corridor N
1.465329,103.944621,Paya Lebar 02/20 corridor N
1.469582,103.946103,Paya Lebar 02/20 corridor N
1.473836,103.947585,Paya Lebar 02/20 corridor N
1.478090,103.949067,Paya Lebar 02/20 corridor N
