town,resale_price,floor_area_sqm,flat_type,storey_band,remaining_lease_years,month
TENGAH,373120,74.2,5 ROOM,06-10,80,2026-01
TENGAH,451071,79.5,4 ROOM,01-05,83,2026-03
TENGAH,381497,83.5,5 ROOM,11-15,90,2026-01
TENGAH,369957,77.6,4 ROOM,01-05,70,2026-02
TENGAH,712968,119.7,5 ROOM,06-10,60,2026-02
TENGAH,519709,107.4,4 ROOM,01-05,64,2026-03
TENGAH,620569,109.7,5 ROOM,06-10,67,2026-01
TENGAH,371659,75.3,4 ROOM,01-05,73,2026-01
TENGAH,437541,94.8,4 ROOM,01-05,94,2026-03
TENGAH,562911,113.5,5 ROOM,06-10,93,2026-01
TENGAH,343974,73.8,5 ROOM,01-05,71,2026-01
TENGAH,370489,84.2,5 ROOM,01-05,84,2026-03
TENGAH,626556,117.1,4 ROOM,01-05,70,2026-02
TENGAH,482720,93.9,4 ROOM,06-10,62,2026-02
TENGAH,465892,95.4,4 ROOM,06-10,81,2026-01
TENGAH,538757,108.4,4 ROOM,11-15,72,2026-03
TENGAH,564673,108.2,4 ROOM,01-05,92,2026-01
TENGAH,438166,78.1,5 ROOM,06-10,91,2026-03
TENGAH,445786,83.7,5 ROOM,06-10,73,2026-02
TENGAH,495031,95.8,4 ROOM,06-10,74,2026-01
TENGAH,472710,96.3,5 ROOM,01-05,92,2026-03
TENGAH,437145,82.0,4 ROOM,11-15,87,2026-01
TENGAH,538801,103.0,5 ROOM,11-15,74,2026-03
TENGAH,615815,105.1,4 ROOM,06-10,82,2026-02
TENGAH,533078,97.1,4 ROOM,01-05,89,2026-03
TENGAH,550616,105.0,4 ROOM,01-05,80,2026-02
TENGAH,551054,95.9,4 ROOM,11-15,68,2026-03
TENGAH,517675,94.3,4 ROOM,11-15,94,2026-02
TENGAH,677019,107.2,4 ROOM,11-15,78,2026-02
TENGAH,377012,81.4,4 ROOM,11-15,75,2026-01
TENGAH,543123,100.1,4 ROOM,11-15,69,2026-01
TENGAH,592416,99.8,5 ROOM,01-05,83,2026-03
TENGAH,563427,96.7,4 ROOM,11-15,76,2026-01
TENGAH,496273,91.7,4 ROOM,01-05,77,2026-03
TENGAH,412691,86.4,5 ROOM,11-15,82,2026-03
TENGAH,524078,96.3,5 ROOM,11-15,66,2026-01
TENGAH,357029,71.1,4 ROOM,06-10,89,2026-03
TENGAH,524034,97.4,4 ROOM,11-15,89,2026-01
TENGAH,430725,85.3,5 ROOM,06-10,77,2026-02
TENGAH,654053,118.6,4 ROOM,06-10,67,2026-01
TENGAH,503925,92.3,4 ROOM,06-10,90,2026-03
TENGAH,582021,104.1,5 ROOM,01-05,85,2026-02
TENGAH,479317,81.7,5 ROOM,01-05,87,2026-03
TENGAH,643248,110.8,5 ROOM,06-10,78,2026-01
TENGAH,545576,100.0,5 ROOM,06-10,92,2026-03
TENGAH,418551,78.3,5 ROOM,06-10,69,2026-03
TENGAH,508133,113.4,4 ROOM,11-15,83,2026-03
TENGAH,533044,105.0,5 ROOM,01-05,88,2026-01
TENGAH,669750,114.7,4 ROOM,01-05,85,2026-01
TENGAH,661808,115.4,5 ROOM,01-05,77,2026-03
TENGAH,533732,112.4,5 ROOM,11-15,90,2026-03
TENGAH,371274,76.3,4 ROOM,06-10,73,2026-03
TENGAH,601409,116.1,5 ROOM,11-15,81,2026-02
TENGAH,413966,77.5,5 ROOM,01-05,88,2026-03
TENGAH,395879,73.7,4 ROOM,06-10,87,2026-02
TENGAH,516865,93.7,4 ROOM,01-05,77,2026-03
TENGAH,458610,91.8,4 ROOM,11-15,79,2026-01
TENGAH,438111,75.2,5 ROOM,11-15,84,2026-01
TENGAH,454532,80.1,4 ROOM,01-05,80,2026-02
TENGAH,419185,82.2,4 ROOM,01-05,92,2026-02
TENGAH,376966,76.1,5 ROOM,01-05,94,2026-02
TENGAH,422565,81.2,4 ROOM,06-10,70,2026-02
TENGAH,470717,92.5,4 ROOM,01-05,93,2026-01
TENGAH,493684,103.5,5 ROOM,11-15,81,2026-03
TENGAH,478574,86.4,5 ROOM,06-10,69,2026-01
TENGAH,502889,91.2,5 ROOM,11-15,63,2026-02
TENGAH,506688,94.4,5 ROOM,11-15,67,2026-01
TENGAH,525423,100.8,4 ROOM,01-05,74,2026-03
TENGAH,484761,79.2,5 ROOM,01-05,62,2026-02
TENGAH,630129,109.0,4 ROOM,01-05,73,2026-01
TENGAH,577591,109.4,5 ROOM,11-15,94,2026-03
TENGAH,516517,100.2,4 ROOM,01-05,72,2026-03
TENGAH,552304,102.3,5 ROOM,06-10,78,2026-02
TENGAH,418968,73.8,4 ROOM,06-10,72,2026-02
TENGAH,490377,104.5,4 ROOM,06-10,66,2026-03
TENGAH,493846,89.8,5 ROOM,06-10,68,2026-03
TENGAH,377780,70.4,5 ROOM,01-05,67,2026-03
TENGAH,387752,74.5,4 ROOM,01-05,67,2026-01
TENGAH,447629,96.9,5 ROOM,06-10,63,2026-03
TENGAH,507216,89.5,5 ROOM,11-15,66,2026-01
TENGAH,543176,95.1,4 ROOM,11-15,93,2026-01
TENGAH,464483,98.7,4 ROOM,01-05,80,2026-03
TENGAH,381282,70.3,4 ROOM,06-10,85,2026-01
TENGAH,422172,72.7,4 ROOM,01-05,65,2026-02
TENGAH,571865,108.0,5 ROOM,06-10,72,2026-03
TENGAH,540207,100.0,4 ROOM,01-05,65,2026-01
TENGAH,461452,82.7,4 ROOM,06-10,94,2026-03
TENGAH,321673,71.3,5 ROOM,06-10,90,2026-03
TENGAH,438637,86.5,5 ROOM,01-05,87,2026-03
TENGAH,404478,75.0,4 ROOM,06-10,94,2026-03
TENGAH,511514,92.4,4 ROOM,11-15,67,2026-03
TENGAH,435190,81.7,5 ROOM,06-10,60,2026-01
TENGAH,711543,119.7,4 ROOM,01-05,69,2026-03
TENGAH,620608,115.1,5 ROOM,06-10,62,2026-03
TENGAH,544597,116.7,5 ROOM,11-15,89,2026-03
TENGAH,441011,85.6,5 ROOM,06-10,71,2026-02
TENGAH,477940,93.8,5 ROOM,01-05,71,2026-02
TENGAH,543777,102.2,5 ROOM,11-15,69,2026-02
TENGAH,575023,114.5,5 ROOM,01-05,84,2026-01
TENGAH,605088,115.4,4 ROOM,01-05,69,2026-03
TENGAH,561877,116.1,5 ROOM,01-05,73,2026-03
TENGAH,471280,87.9,5 ROOM,06-10,78,2026-03
TENGAH,414621,79.4,4 ROOM,06-10,93,2026-02
TENGAH,623896,113.7,5 ROOM,01-05,88,2026-01
TENGAH,528986,113.2,5 ROOM,11-15,73,2026-02
TENGAH,429543,82.6,4 ROOM,06-10,67,2026-03
TENGAH,519341,102.2,5 ROOM,01-05,90,2026-01
TENGAH,461594,89.0,5 ROOM,06-10,81,2026-02
TENGAH,510669,84.4,4 ROOM,11-15,90,2026-02
PASIR RIS,623892,116.9,4 ROOM,11-15,82,2026-01
PASIR RIS,438276,79.3,5 ROOM,01-05,90,2026-01
PASIR RIS,515456,94.7,4 ROOM,11-15,90,2026-01
PASIR RIS,642900,116.0,4 ROOM,06-10,88,2026-01
PASIR RIS,479424,93.3,5 ROOM,06-10,83,2026-02
PASIR RIS,570219,99.2,5 ROOM,01-05,89,2026-03
PASIR RIS,435005,77.3,5 ROOM,06-10,65,2026-01
PASIR RIS,519755,95.2,4 ROOM,01-05,88,2026-01
PASIR RIS,633067,116.2,4 ROOM,11-15,65,2026-01
PASIR RIS,535766,90.1,5 ROOM,11-15,89,2026-02
PASIR RIS,405871,73.4,5 ROOM,11-15,71,2026-01
PASIR RIS,608395,113.5,4 ROOM,01-05,63,2026-02
PASIR RIS,408545,70.5,5 ROOM,11-15,80,2026-02
PASIR RIS,481888,88.4,5 ROOM,11-15,83,2026-02
PASIR RIS,513075,92.7,5 ROOM,11-15,85,2026-02
PASIR RIS,495433,72.6,5 ROOM,11-15,87,2026-01
PASIR RIS,442130,78.2,5 ROOM,06-10,74,2026-02
PASIR RIS,594244,111.4,4 ROOM,01-05,87,2026-01
PASIR RIS,317491,71.7,5 ROOM,06-10,91,2026-02
PASIR RIS,597120,114.5,4 ROOM,01-05,69,2026-02
PASIR RIS,451680,74.4,4 ROOM,06-10,62,2026-02
PASIR RIS,583854,118.1,5 ROOM,06-10,62,2026-02
PASIR RIS,422488,86.8,5 ROOM,06-10,80,2026-01
PASIR RIS,469966,82.7,4 ROOM,11-15,65,2026-02
PASIR RIS,448097,70.1,5 ROOM,11-15,77,2026-01
PASIR RIS,593654,112.8,5 ROOM,06-10,79,2026-02
PASIR RIS,624991,109.9,4 ROOM,01-05,79,2026-03
PASIR RIS,551356,102.5,4 ROOM,11-15,71,2026-02
PASIR RIS,628321,113.8,4 ROOM,01-05,71,2026-01
PASIR RIS,586212,98.9,5 ROOM,06-10,72,2026-02
PASIR RIS,409188,77.7,5 ROOM,06-10,76,2026-01
PASIR RIS,446121,78.4,5 ROOM,11-15,71,2026-01
PASIR RIS,595958,104.6,4 ROOM,06-10,60,2026-03
PASIR RIS,607171,112.7,5 ROOM,01-05,90,2026-01
PASIR RIS,567587,96.4,4 ROOM,06-10,75,2026-01
PASIR RIS,696002,112.3,4 ROOM,11-15,61,2026-01
PASIR RIS,524061,94.4,5 ROOM,06-10,68,2026-02
PASIR RIS,490417,83.6,4 ROOM,01-05,70,2026-02
PASIR RIS,590171,111.3,5 ROOM,11-15,78,2026-03
PASIR RIS,583255,115.1,4 ROOM,01-05,61,2026-01
PASIR RIS,551535,97.9,5 ROOM,01-05,92,2026-03
PASIR RIS,389484,77.6,4 ROOM,01-05,86,2026-01
PASIR RIS,443132,80.4,5 ROOM,11-15,71,2026-02
PASIR RIS,525169,116.7,5 ROOM,11-15,61,2026-01
PASIR RIS,543422,96.1,4 ROOM,11-15,90,2026-02
PASIR RIS,366058,81.0,4 ROOM,06-10,73,2026-03
PASIR RIS,406407,74.2,4 ROOM,01-05,72,2026-03
PASIR RIS,548665,90.0,4 ROOM,01-05,75,2026-02
PASIR RIS,621415,116.6,4 ROOM,01-05,78,2026-01
PASIR RIS,627389,110.2,5 ROOM,06-10,73,2026-02
PASIR RIS,680008,115.1,5 ROOM,06-10,78,2026-03
PASIR RIS,499436,91.7,4 ROOM,01-05,73,2026-01
PASIR RIS,536766,93.2,5 ROOM,06-10,73,2026-01
PASIR RIS,586279,97.6,5 ROOM,06-10,83,2026-02
PASIR RIS,431770,89.8,4 ROOM,11-15,78,2026-01
PASIR RIS,506194,87.0,5 ROOM,11-15,64,2026-01
PASIR RIS,651590,117.8,4 ROOM,01-05,72,2026-03
PASIR RIS,418034,82.5,4 ROOM,01-05,92,2026-01
PASIR RIS,392592,78.4,5 ROOM,06-10,89,2026-01
PASIR RIS,651550,116.4,5 ROOM,01-05,83,2026-03
PASIR RIS,551035,93.9,4 ROOM,06-10,81,2026-02
PASIR RIS,580529,106.2,5 ROOM,06-10,92,2026-02
PASIR RIS,425292,75.4,4 ROOM,01-05,85,2026-01
PASIR RIS,643634,118.4,5 ROOM,01-05,78,2026-03
PASIR RIS,420442,86.7,4 ROOM,01-05,62,2026-02
PASIR RIS,478748,93.1,4 ROOM,06-10,93,2026-02
PASIR RIS,620105,96.7,4 ROOM,01-05,62,2026-03
PASIR RIS,598494,102.8,4 ROOM,01-05,89,2026-02
PASIR RIS,471567,97.2,5 ROOM,06-10,60,2026-03
PASIR RIS,428539,75.3,5 ROOM,06-10,76,2026-02
PASIR RIS,562433,102.5,4 ROOM,01-05,74,2026-03
PASIR RIS,630530,101.0,5 ROOM,01-05,91,2026-02
PASIR RIS,571386,113.7,4 ROOM,01-05,61,2026-01
PASIR RIS,635161,112.3,5 ROOM,11-15,89,2026-01
PASIR RIS,384252,71.9,4 ROOM,06-10,63,2026-03
PASIR RIS,620117,119.1,5 ROOM,06-10,85,2026-01
PASIR RIS,411358,75.1,5 ROOM,11-15,60,2026-02
PASIR RIS,527543,88.7,5 ROOM,01-05,62,2026-03
PASIR RIS,464073,85.5,4 ROOM,06-10,60,2026-03
PASIR RIS,655426,112.3,4 ROOM,11-15,63,2026-03
PASIR RIS,662389,117.3,5 ROOM,01-05,63,2026-02
PASIR RIS,507675,98.2,5 ROOM,11-15,71,2026-02
PASIR RIS,530946,89.5,5 ROOM,11-15,79,2026-02
PASIR RIS,518478,97.6,5 ROOM,11-15,65,2026-01
PASIR RIS,607813,111.1,5 ROOM,06-10,84,2026-03
PASIR RIS,527124,91.3,4 ROOM,11-15,83,2026-01
PASIR RIS,584083,110.5,4 ROOM,01-05,70,2026-02
PASIR RIS,492677,78.6,5 ROOM,06-10,70,2026-03
PASIR RIS,437713,83.4,5 ROOM,01-05,83,2026-02
PASIR RIS,562307,116.8,5 ROOM,06-10,92,2026-02
PASIR RIS,621674,119.0,5 ROOM,01-05,62,2026-01
PASIR RIS,459702,84.2,4 ROOM,01-05,78,2026-03
PASIR RIS,410399,82.6,4 ROOM,11-15,84,2026-01
PASIR RIS,487709,83.1,5 ROOM,01-05,89,2026-01
PASIR RIS,511599,93.4,5 ROOM,11-15,77,2026-02
PASIR RIS,557131,101.9,5 ROOM,01-05,60,2026-03
PASIR RIS,426556,76.7,4 ROOM,01-05,91,2026-02
PASIR RIS,546633,108.5,5 ROOM,06-10,66,2026-03
PASIR RIS,548772,101.4,5 ROOM,01-05,77,2026-03
PASIR RIS,465880,90.7,4 ROOM,01-05,62,2026-03
PASIR RIS,375321,76.2,5 ROOM,11-15,78,2026-02
PASIR RIS,593965,103.0,5 ROOM,06-10,63,2026-02
PASIR RIS,439383,96.6,4 ROOM,06-10,93,2026-03
PASIR RIS,535179,98.0,4 ROOM,06-10,65,2026-03
PASIR RIS,488522,83.6,4 ROOM,01-05,77,2026-02
PASIR RIS,523237,94.9,5 ROOM,11-15,91,2026-03
PASIR RIS,527612,96.6,4 ROOM,11-15,69,2026-03
PASIR RIS,647556,102.0,5 ROOM,06-10,78,2026-03
PASIR RIS,400328,75.5,4 ROOM,06-10,62,2026-01
PASIR RIS,442169,90.9,5 ROOM,11-15,74,2026-02
PASIR RIS,614750,111.2,5 ROOM,06-10,75,2026-01
PASIR RIS,630683,107.2,5 ROOM,06-10,87,2026-02
PASIR RIS,569142,114.1,4 ROOM,11-15,94,2026-01
PASIR RIS,569200,103.8,5 ROOM,06-10,60,2026-02
PASIR RIS,378507,77.0,4 ROOM,06-10,69,2026-03
PASIR RIS,503901,108.6,5 ROOM,06-10,85,2026-02
PASIR RIS,491011,81.5,5 ROOM,01-05,91,2026-03
PASIR RIS,580430,118.6,4 ROOM,11-15,91,2026-02
PASIR RIS,421185,71.4,5 ROOM,01-05,83,2026-03
PASIR RIS,466202,76.6,4 ROOM,01-05,63,2026-01
PASIR RIS,659106,117.3,5 ROOM,11-15,83,2026-03
PASIR RIS,633302,119.9,5 ROOM,11-15,83,2026-02
PASIR RIS,593763,116.3,5 ROOM,11-15,94,2026-03
PASIR RIS,465443,79.4,5 ROOM,01-05,88,2026-03
PASIR RIS,444658,82.1,5 ROOM,11-15,87,2026-02
PASIR RIS,382098,75.5,5 ROOM,11-15,84,2026-02
PASIR RIS,628210,105.4,5 ROOM,11-15,91,2026-02
PASIR RIS,467328,84.1,4 ROOM,01-05,69,2026-02
PASIR RIS,500764,90.3,4 ROOM,01-05,81,2026-01
PASIR RIS,464891,91.4,5 ROOM,01-05,83,2026-01
PASIR RIS,461834,100.6,4 ROOM,11-15,90,2026-03
